 INFO  Accepting connections at http://localhost:3000
 HTTP  29/8/2026 8:55:30 p. m. ::1 GET /login.html
 HTTP  29/8/2026 8:55:30 p. m. ::1 Returned 200 in 10 ms
 HTTP  29/8/2026 8:55:34 p. m. ::1 GET /login.html
 HTTP  29/8/2026 8:55:34 p. m. ::1 Returned 200 in 1 ms
 HTTP  29/8/2026 8:55:34 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:55:34 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:55:34 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:55:34 p. m. ::1 Returned 200 in 1 ms
 HTTP  29/8/2026 8:55:36 p. m. ::1 GET /login.html
 HTTP  29/8/2026 8:55:36 p. m. ::1 Returned 304 in 1 ms
 HTTP  29/8/2026 8:55:36 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:55:36 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:55:36 p. m. ::1 Returned 304 in 1 ms
 HTTP  29/8/2026 8:55:36 p. m. ::1 Returned 304 in 2 ms
 HTTP  29/8/2026 8:56:26 p. m. ::1 GET /
 HTTP  29/8/2026 8:56:26 p. m. ::1 Returned 200 in 4 ms
 HTTP  29/8/2026 8:56:26 p. m. ::1 GET /
 HTTP  29/8/2026 8:56:26 p. m. ::1 Returned 200 in 4 ms
 HTTP  29/8/2026 8:56:27 p. m. ::1 GET /login.html
 HTTP  29/8/2026 8:56:27 p. m. ::1 Returned 200 in 4 ms
 HTTP  29/8/2026 8:56:27 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:27 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:27 p. m. ::1 Returned 200 in 4 ms
 HTTP  29/8/2026 8:56:27 p. m. ::1 Returned 200 in 4 ms
 HTTP  29/8/2026 8:56:27 p. m. ::1 GET /login.html
 HTTP  29/8/2026 8:56:27 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:27 p. m. ::1 GET /login.html
 HTTP  29/8/2026 8:56:27 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:27 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:27 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:27 p. m. ::1 Returned 200 in 4 ms
 HTTP  29/8/2026 8:56:27 p. m. ::1 Returned 200 in 6 ms
